INVOICE_NO,INVOICE DATE,CONSIGNMENT_NO,CPDP_NODE,MOVEMENT_TYPE,BOOKING_DATE,BOOKING_BRANCH,BRANCH_CITY,DELIVERY_CITY,SUB_PRODUCT,ZCUST_REF,ZZINV_VALUE,NO_OF_PIECES,DESTINATION_CATEGORY,CHARGED_WEIGHT,BASIC_FREIGHT,FUEL_SURCHARGE,ROV_CHARGES,COD_FOD_CHARGE,ODA_CHARGES,OTHER_CHARGES,SUB_TOTAL,GST,TOTAL,CHARGE_TYPE,SUPPORT_CHARGE
GJ2426TS028972,2026-03-31,7D123852134,GL10735,FORWARD,2026-03-30,A38,GANDHINAGAR,MADURAI,B2C SMART EXPRESS,GB721242,1299.0,1,06_ROIB,1.5,134.0,0,0,0.0,0,0,134.0,24.12,158.12,TS-NTS,0
GJ2426TS028972,2026-03-31,I82707884,GL10735,FORWARD,2026-03-14,A38,GANDHINAGAR,SAHIBABAD,B2C SMART EXPRESS,GB720044,899.0,1,06_ROIB,1.225,134.0,0,0,35.0,0,0,169.0,30.42,199.42,TS-NTS,0
GJ2426TS028972,2026-03-31,I82707961,GL10735,FORWARD,2026-03-31,A38,GANDHINAGAR,CANNANORE,B2C SMART EXPRESS,GB721279,829.0,1,06_ROIB,1.297,134.0,0,0,35.0,0,0,169.0,30.42,199.42,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852111,GL10735,FORWARD,2026-03-28,A38,GANDHINAGAR,MUMBAI,B2C SMART EXPRESS,GB721134,649.0,1,03_WITHIN_ZONE,0.747,42.0,0,0,0.0,0,0,42.0,7.56,49.56,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852128,GL10735,FORWARD,2026-03-30,A38,GANDHINAGAR,VARANASI,B2C SMART EXPRESS,GB721251,649.0,1,06_ROIB,0.843,67.0,0,0,0.0,0,0,67.0,12.06,79.06,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852160,GL10735,FORWARD,2026-03-30,A38,GANDHINAGAR,DELHI,B2C SMART EXPRESS,GB721183,799.0,1,04_ROI_TO_METRO,0.5,50.0,0,0,0.0,0,0,50.0,9.0,59.0,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852060,GL10735,FORWARD,2026-03-23,A38,GANDHINAGAR,MUMBAI,B2C SMART EXPRESS,GB720657,899.0,1,03_WITHIN_ZONE,1.272,84.0,0,0,0.0,0,0,84.0,15.12,99.12,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852145,GL10735,FORWARD,2026-03-30,A38,GANDHINAGAR,GHAZIABAD,B2C SMART EXPRESS,GB721223,829.0,1,06_ROIB,1.5,118.0,0,0,0.0,0,0,118.0,21.24,139.24,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852076,GL10735,FORWARD,2026-03-25,A38,GANDHINAGAR,MUMBAI,B2C SMART EXPRESS,GB720866,949.0,1,03_WITHIN_ZONE,1.58,84.0,0,0,0.0,0,0,84.0,15.12,99.12,TS-NTS,0
GJ2426TS028972,2026-03-31,7D123852109,GL10735,FORWARD,2026-03-28,A38,GANDHINAGAR,VASHI,B2C SMART EXPRESS,GB721082,649.0,1,03_WITHIN_ZONE,0.756,42.0,0,0,0.0,0,0,42.0,7.56,49.56,TS-NTS,0
