Unnamed: 0,L (cm),B (cm),H (cm),Weight,VolWeight,Unnamed: 6,Weight (kg)
Kanji201,18.5,18.5,29.0,1.5,2.0,,
GBSproutsJar-1,13.0,14.0,22.0,0.6,1.0,,
Kanji101,17.0,17.0,25.0,1.2,1.5,,
GBSproutsJar-2,26.0,14.0,22.0,1.2,2.0,,
Kanji401,22.0,22.0,36.5,2.5,4.0,,
"Kanji201, GBKanjiSuppliesStarterPack",18.5,18.5,29.0,1.65,2.0,,
"GBKanjiSuppliesMegaPack, Kanji201",18.5,18.5,29.0,2.05,2.0,,
"Kanji101, GBKanjiSuppliesStarterPack",17.0,17.0,25.0,1.4,1.5,,
FJ01,17.0,17.0,25.0,1.15,1.5,,
GBKanjiMixPack5,11.0,17.0,8.0,0.27,0.5,,
GBUltimateFermentationKit,31.0,32.0,47.0,9.0,9.5,,
VFKit101,17.0,17.0,25.0,1.5,1.5,,
GW110,13.0,14.0,22.0,0.5,1.0,,
"GBKanjiSuppliesMegaPack, Kanji401",22.0,22.0,36.5,3.0,4.0,,
GBKanjiSuppliesMegaPack,16.0,16.0,8.0,0.56,0.5,,
FJ04*2,22.0,44.0,37.0,,7.5,,4.7
"GBSproutsJar-2, FJ201*2",38.0,40.0,28.0,,9.0,,3.8
"GBKanjiSuppliesValuePack*2, VFKit101, Kanji201",19.0,38.0,29.0,,4.5,,3.6
"GBSproutsJar-2, GBKanjiSuppliesMegaPack, Kanji201",23.0,29.0,44.0,,6.0,,3.5
"GBKanjiSuppliesMegaPack, FJ201*2, GBKimchiPaste03",35.0,20.0,28.0,,4.0,,3.4
"GBKanjiSuppliesMegaPack, Kanji201, GBSproutsJar-2",23.0,29.0,44.0,,6.0,,3.2
"Kanji401, GBSproutsJar-1",36.0,36.0,25.0,,6.5,,3.2
"GBKanjiSuppliesMegaPack, FJ04",22.0,22.0,37.0,,4.0,,3.0
"GBSproutsJar-1, GBKanjiSuppliesMegaPack, Kanji201, GBKimchiPaste03",19.0,38.0,29.0,,4.5,,3.0
"GBSproutsJar-2, Kanji201, GBKanjiSuppliesStarterPack",23.0,29.0,44.0,,6.0,,3.0
